"","model","AUC","lower","upper"
"1","UKBDRS",0.785306614596462,0.784866256871394,0.785746972321531
"2","DRS",0.759519376276602,0.759077546956533,0.75996120559667
"3","Age_only",0.753993082355978,0.753556490893505,0.754429673818452
"4","CAIDE",0.599850871371838,0.599348501954474,0.600353240789201
"21","ANUADRI",0.565838113325916,0.565359568895395,0.566316657756437
