"","model","reference","delta.AUC","lower","upper","p","p_fdr"
"1","DRS","UKBDRS",-0.0257872383198609,-0.0260056868625303,-0.0255687897771914,0,0
"2","Age_only","UKBDRS",-0.0313135322404843,-0.0315087935990082,-0.0311182708819603,0,0
"3","CAIDE","UKBDRS",-0.185455743224625,-0.186016851454965,-0.184894634994285,0,0
"4","ANUADRI","ukbdrs_anu",-0.223212859346258,-0.223518780011597,-0.222906938680919,0,0
